# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 16.11.2020 по 27.12.2020, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.12.2020 06:00";"1.1";"762.7";"763.1";"0.3";"95";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"-0.3";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"0.4";"2.0";"12";"";"";"";"";
"19.12.2020 03:00";"1.0";"762.4";"762.7";"0.0";"94";"Ветер, дующий с востока";"2";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"0.1";"";"";"";"";"";"";
"19.12.2020 00:00";"0.7";"762.4";"762.8";"-0.9";"95";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"0.0";"";"";"";"";"";"";
"18.12.2020 21:00";"0.1";"763.3";"763.6";"-0.9";"94";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.2";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.8";"4.0";"12";"";"";"";"";
"18.12.2020 18:00";"-0.3";"764.2";"764.5";"-1.0";"91";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.6";"4.0";"12";"";"";"";"";
"18.12.2020 15:00";"-0.9";"765.2";"765.6";"-1.1";"95";"Ветер, дующий с востока";"2";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-1.6";"";"";"";"";"";"";
"18.12.2020 12:00";"-1.0";"766.3";"766.7";"-0.6";"92";"Ветер, дующий с востока";"2";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-2.1";"";"";"";"";"";"";
"18.12.2020 09:00";"-0.4";"766.9";"767.3";"-0.6";"89";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"  Диаметр отложения мокрого снега составляет 1 мм.";"";"";"-1.1";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"18.12.2020 06:00";"-0.4";"767.5";"767.9";"-0.3";"89";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-1.1";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.0";"0.5";"12";"";"";"";"";
"18.12.2020 03:00";"-0.2";"767.8";"768.2";"0.1";"87";"Штиль, безветрие";"0";"";"";"100%.";"  Диаметр отложения мокрого снега составляет 2 мм.";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-2.1";"";"";"";"";"";"";
"18.12.2020 00:00";"-0.3";"767.7";"768.1";"1.0";"92";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"17.12.2020 21:00";"0.0";"766.7";"767.1";"1.1";"91";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";"Снег неливневый.  Диаметр отложения мокрого снега составляет 2 мм.";"Снег и/или другие виды твердых осадков";"Дождь.";"";"2.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.3";"0.5";"12";"";"";"";"";
"17.12.2020 18:00";"1.0";"765.6";"766.0";"1.2";"91";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.3";"Следы осадков";"12";"";"";"";"";
"17.12.2020 15:00";"1.6";"764.4";"764.8";"1.8";"85";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.6";"";"";"";"";"";"";
"17.12.2020 12:00";"1.5";"762.6";"763.0";"2.2";"86";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.6";"";"";"";"";"";"";
"17.12.2020 09:00";"2.0";"760.4";"760.8";"1.6";"87";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"0.4";"12";"";"";"Неровный слой слежавшегося или мокрого снега покрывает почву полностью.";"4.0";
"17.12.2020 06:00";"0.7";"758.8";"759.1";"1.4";"";"Ветер, дующий с запада";"4";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"";"1.0";"12";"";"";"";"";
"17.12.2020 03:00";"2.7";"757.4";"757.8";"1.3";"95";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"2.0";"";"";"";"";"";"";
"17.12.2020 00:00";"1.5";"756.1";"756.4";"-0.3";"95";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"0.8";"";"";"";"";"";"";
"16.12.2020 21:00";"0.3";"756.4";"756.8";"-1.2";"92";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.4";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.8";"2.0";"12";"";"";"";"";
"16.12.2020 18:00";"-0.1";"757.6";"757.9";"-1.2";"96";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.7";"3.0";"12";"";"";"";"";
"16.12.2020 15:00";"0.3";"758.8";"759.2";"-1.2";"90";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.1";"";"";"";"";"";"";
"16.12.2020 12:00";"0.2";"760.0";"760.4";"-0.7";"89";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.4";"";"";"";"";"";"";
"16.12.2020 09:00";"0.3";"760.7";"761.1";"-1.6";"91";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Морось.";"-0.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.0";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"Измерение невозможно или неточно.";
"16.12.2020 06:00";"0.1";"762.3";"762.7";"-1.4";"93";"Ветер, дующий с юга";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.9";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-0.9";"Следы осадков";"12";"";"";"";"";
"16.12.2020 03:00";"0.0";"763.7";"764.1";"-0.6";"94";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"8.0";"-0.9";"";"";"";"";"";"";
"16.12.2020 00:00";"-0.1";"764.3";"764.7";"-0.3";"91";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Замерзающая морось или замерзающий дождь неливневые. ";"Снег и/или другие виды твердых осадков";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"15.12.2020 21:00";"-0.5";"764.6";"765.0";"-0.5";"89";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"0.3";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.1";"Осадков нет";"12";"";"";"";"";
"15.12.2020 18:00";"-0.5";"765.1";"765.5";"-0.3";"88";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-2.2";"Осадков нет";"12";"";"";"";"";
"15.12.2020 15:00";"0.2";"765.4";"765.7";"0.3";"90";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-1.2";"";"";"";"";"";"";
"15.12.2020 12:00";"-0.3";"765.1";"765.5";"0.0";"91";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-1.6";"";"";"";"";"";"";
"15.12.2020 09:00";"-0.7";"765.1";"765.5";"0.2";"90";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-2.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"6.0";
"15.12.2020 06:00";"-1.3";"764.9";"765.3";"-0.3";"91";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-2.6";"Осадков нет";"12";"";"";"";"";
"15.12.2020 03:00";"-1.7";"765.2";"765.6";"-0.1";"90";"Ветер, дующий с севера";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-3.1";"";"";"";"";"";"";
"15.12.2020 00:00";"-1.6";"765.3";"765.7";"-0.1";"89";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-3.2";"";"";"";"";"";"";
"14.12.2020 21:00";"-2.0";"765.4";"765.7";"-0.4";"88";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"-2.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-3.8";"Осадков нет";"12";"";"";"";"";
"14.12.2020 18:00";"-2.5";"765.8";"766.2";"-0.3";"87";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.4";"Следы осадков";"12";"";"";"";"";
"14.12.2020 15:00";"-2.3";"766.1";"766.5";"-0.2";"82";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.0";"";"";"";"";"";"";
"14.12.2020 12:00";"-2.1";"766.3";"766.7";"0.3";"77";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.6";"";"";"";"";"";"";
"14.12.2020 09:00";"-2.6";"766.0";"766.4";"-0.1";"78";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.9";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"6.0";
"14.12.2020 06:00";"-2.9";"766.1";"766.5";"-0.1";"81";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"-3.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.7";"Следы осадков";"12";"";"";"";"";
"14.12.2020 03:00";"-2.9";"766.2";"766.6";"0.1";"82";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-5.5";"";"";"";"";"";"";
"14.12.2020 00:00";"-3.0";"766.1";"766.5";"0.4";"85";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег неливневый. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-5.2";"";"";"";"";"";"";
"13.12.2020 21:00";"-3.2";"765.7";"766.1";"-0.2";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"-3.2";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-5.4";"Следы осадков";"12";"";"";"";"";
"13.12.2020 18:00";"-3.3";"765.9";"766.3";"-0.1";"87";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"-5.2";"Следы осадков";"12";"";"";"";"";
"13.12.2020 15:00";"-3.6";"766.0";"766.3";"-0.3";"88";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"-5.4";"";"";"";"";"";"";
"13.12.2020 12:00";"-4.4";"766.3";"766.7";"-0.3";"87";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"13.12.2020 09:00";"-5.8";"766.6";"766.9";"-0.6";"86";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-6.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1500-2000";"";"";"10.0";"-7.8";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
"13.12.2020 06:00";"-5.7";"767.2";"767.7";"-0.6";"88";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"-5.7";"";"";"";"";"";"";"10.0";"-7.4";"Осадков нет";"12";"";"";"";"";
"13.12.2020 03:00";"-4.7";"767.8";"768.2";"0.1";"88";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"-6.4";"";"";"";"";"";"";
"13.12.2020 00:00";"-3.8";"767.7";"768.1";"0.4";"88";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.5";"";"";"";"";"";"";
"12.12.2020 21:00";"-3.2";"767.3";"767.7";"0.7";"84";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"0.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.6";"Осадков нет";"12";"";"";"";"";
"12.12.2020 18:00";"-3.4";"766.6";"767.1";"0.3";"81";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-6.2";"Осадков нет";"12";"";"";"";"";
"12.12.2020 15:00";"-2.5";"766.3";"766.6";"0.0";"83";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-5.1";"";"";"";"";"";"";
"12.12.2020 12:00";"-2.0";"766.3";"766.7";"0.6";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-4.2";"";"";"";"";"";"";
"12.12.2020 09:00";"0.3";"765.7";"766.0";"0.0";"87";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"-0.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.6";"3.0";"12";"";"";"Неровный слой слежавшегося или мокрого снега покрывает почву полностью.";"4.0";
"12.12.2020 06:00";"1.1";"765.7";"766.0";"0.0";"90";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"-2.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.4";"5.0";"12";"";"";"";"";
"12.12.2020 03:00";"1.0";"765.7";"766.1";"-0.3";"95";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"0.3";"";"";"";"";"";"";
"12.12.2020 00:00";"0.4";"766.0";"766.3";"0.1";"94";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.5";"";"";"";"";"";"";
"11.12.2020 21:00";"-0.7";"765.9";"766.3";"-0.3";"94";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-0.7";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"4.0";"-1.5";"4.0";"12";"";"";"";"";
"11.12.2020 18:00";"-2.5";"766.2";"766.6";"-0.2";"94";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час.  Диаметр отложения при гололеде составляет 1 мм.";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"2.0";"-3.4";"2.0";"12";"";"";"";"";
"11.12.2020 15:00";"-3.6";"766.4";"766.8";"-0.5";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-5.6";"";"";"";"";"";"";
"11.12.2020 12:00";"-4.7";"766.9";"767.2";"-0.3";"78";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.0";"";"";"";"";"";"";
"11.12.2020 09:00";"-6.1";"767.2";"767.5";"-0.6";"70";"Ветер, дующий с востоко-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"-6.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.7";"";"";"";"";"";"";
